cancer_type	mutation	me_27k	me_450k	mut_sigs	mirna	rppa	base
ACC	3	0	0	0	0	32	44
BLCA	29	0	0	20	3	65	310
BRCA	237	16	291	44	9	109	512
CESC	38	0	0	18	0	120	134
CHOL	9	0	3	0	0	6	27
COAD	154	0	77	15	0	33	216
DLBC	11	0	0	6	0	10	21
ESCA	27	0	0	0	0	53	116
GBM	48	0	73	12	39	0	0
HNSC	79	0	0	39	3	267	178
KICH	26	0	0	15	0	2	48
KIRC	254	0	97	16	0	18	221
KIRP	52	0	13	17	0	53	188
LAML	58	1	0	0	0	114	0
LGG	23	0	1	8	4	85	409
LIHC	75	0	1	46	2	179	120
LUAD	74	1	56	20	1	125	299
LUSC	89	1	113	21	4	94	231
MESO	5	0	0	0	0	23	59
OV	132	2	166	0	0	0	8
PAAD	31	0	2	2	0	51	97
PCPG	26	0	0	1	0	83	77
PRAD	71	0	0	10	4	134	331
READ	53	0	29	1	0	20	68
SARC	36	0	0	28	1	33	167
SKCM	111	0	0	52	14	92	205
STAD	67	0	40	25	0	67	251
TGCT	12	0	0	0	0	30	114
THCA	92	0	1	16	1	124	338
THYM	3	0	0	0	0	32	87
UCEC	60	0	109	22	0	84	292
UCS	1	0	0	0	1	9	46
UVM	0	0	0	0	0	68	12
